,Unnamed: 0,service_id,category,subcategory,service_name,description,professional_required,priority_level,priority
77,256,257,AUTRES SERVICES,EMBALLAGE ET DEBALLAGE,EMBALLAGE ET DEBALLAGE,SERVICE DE EMBALLAGE ET DEBALLAGE PROPOSE À DOMICILE OU SUR SITE SELON LES BESOINS DU CLIENT.,PROFESSIONNEL SPECIALISE EN EMBALLAGE ET DEBALLAGE,NON PRIORITAIRE,NON PRIORITAIRE
78,115,116,AUTRES SERVICES,ENCADREURS DE LA PETITE ENFANCE,ENCADREURS DE LA PETITE ENFANCE,SERVICE DE ENCADREURS DE LA PETITE ENFANCE PROPOSE À DOMICILE OU SUR SITE SELON LES BESOINS DU CLIENT.,PROFESSIONNEL SPECIALISE EN ENCADREURS DE LA PETITE ENFANCE,NON PRIORITAIRE,NON PRIORITAIRE
79,8,9,AUTRES SERVICES,ENLEVEMENT DES DEBRIS,ENLEVEMENT DES DEBRIS,SERVICE DE ENLEVEMENT DES DEBRIS PROPOSE À DOMICILE OU SUR SITE SELON LES BESOINS DU CLIENT.,PROFESSIONNEL SPECIALISE EN ENLEVEMENT DES DEBRIS,NON PRIORITAIRE,NON PRIORITAIRE
80,116,117,AUTRES SERVICES,ENSEIGNANTS,ENSEIGNANTS,SERVICE DE ENSEIGNANTS PROPOSE À DOMICILE OU SUR SITE SELON LES BESOINS DU CLIENT.,PROFESSIONNEL SPECIALISE EN ENSEIGNANTS,NON PRIORITAIRE,NON PRIORITAIRE
82,182,183,AUTRES SERVICES,EPILATION,EPILATION,SERVICE DE EPILATION PROPOSE À DOMICILE OU SUR SITE SELON LES BESOINS DU CLIENT.,PROFESSIONNEL SPECIALISE EN EPILATION,NON PRIORITAIRE,NON PRIORITAIRE
83,193,194,AUTRES SERVICES,ESTHETICIENNES,ESTHETICIENNES,SERVICE DE ESTHETICIENNES PROPOSE À DOMICILE OU SUR SITE SELON LES BESOINS DU CLIENT.,PROFESSIONNEL SPECIALISE EN ESTHETICIENNES,NON PRIORITAIRE,NON PRIORITAIRE
84,228,229,AUTRES SERVICES,EVENT DESIGNERPLANNER,EVENT DESIGNERPLANNER,SERVICE DE EVENT DESIGNERPLANNER PROPOSE À DOMICILE OU SUR SITE SELON LES BESOINS DU CLIENT.,PROFESSIONNEL SPECIALISE EN EVENT DESIGNERPLANNER,NON PRIORITAIRE,NON PRIORITAIRE
85,245,246,AUTRES SERVICES,EVENT PLANNER,EVENT PLANNER,SERVICE DE EVENT PLANNER PROPOSE À DOMICILE OU SUR SITE SELON LES BESOINS DU CLIENT.,PROFESSIONNEL SPECIALISE EN EVENT PLANNER,NON PRIORITAIRE,NON PRIORITAIRE
86,221,222,AUTRES SERVICES,EVENEMENTS SPECIAUX,EVENEMENTS SPECIAUX,SERVICE DE EVENEMENTS SPECIAUX PROPOSE À DOMICILE OU SUR SITE SELON LES BESOINS DU CLIENT.,PROFESSIONNEL SPECIALISE EN EVENEMENTS SPECIAUX,NON PRIORITAIRE,NON PRIORITAIRE
87,297,298,AUTRES SERVICES,EXPERTS JURIDIQUES,EXPERTS JURIDIQUES,SERVICE DE EXPERTS JURIDIQUES PROPOSE À DOMICILE OU SUR SITE SELON LES BESOINS DU CLIENT.,PROFESSIONNEL SPECIALISE EN EXPERTS JURIDIQUES,NON PRIORITAIRE,NON PRIORITAIRE
88,216,217,AUTRES SERVICES,FETES ET EVENEMENTS,FETES ET EVENEMENTS,SERVICE DE FETES ET EVENEMENTS PROPOSE À DOMICILE OU SUR SITE SELON LES BESOINS DU CLIENT.,PROFESSIONNEL SPECIALISE EN FETES ET EVENEMENTS,NON PRIORITAIRE,NON PRIORITAIRE
89,27,28,AUTRES SERVICES,FANIKO,FANIKO,SERVICE DE FANIKO PROPOSE À DOMICILE OU SUR SITE SELON LES BESOINS DU CLIENT.,PROFESSIONNEL SPECIALISE EN FANIKO,NON PRIORITAIRE,NON PRIORITAIRE
90,76,77,AUTRES SERVICES,FENETRES ET PORTES,FENETRES ET PORTES,SERVICE DE FENÊTRES ET PORTES PROPOSE À DOMICILE OU SUR SITE SELON LES BESOINS DU CLIENT.,PROFESSIONNEL SPECIALISE EN FENÊTRES ET PORTES,NON PRIORITAIRE,NON PRIORITAIRE
92,173,174,AUTRES SERVICES,FESTIVE MAKE-UP,FESTIVE MAKE-UP,SERVICE DE FESTIVE MAKE-UP PROPOSE À DOMICILE OU SUR SITE SELON LES BESOINS DU CLIENT.,PROFESSIONNEL SPECIALISE EN FESTIVE MAKE-UP,NON PRIORITAIRE,NON PRIORITAIRE
93,159,160,AUTRES SERVICES,FORMATION AUX TIC,FORMATION AUX TIC,SERVICE DE FORMATION AUX TIC PROPOSE À DOMICILE OU SUR SITE SELON LES BESOINS DU CLIENT.,PROFESSIONNEL SPECIALISE EN FORMATION AUX TIC,NON PRIORITAIRE,NON PRIORITAIRE
94,257,258,AUTRES SERVICES,FOURNITURE DE MATERIEL D'EMBALLAGE,FOURNITURE DE MATERIEL D'EMBALLAGE,SERVICE DE FOURNITURE DE MATERIEL D'EMBALLAGE PROPOSE À DOMICILE OU SUR SITE SELON LES BESOINS DU CLIENT.,PROFESSIONNEL SPECIALISE EN FOURNITURE DE MATERIEL D'EMBALLAGE,NON PRIORITAIRE,NON PRIORITAIRE
95,80,81,AUTRES SERVICES,FROID,FROID,SERVICE DE FROID PROPOSE À DOMICILE OU SUR SITE SELON LES BESOINS DU CLIENT.,PROFESSIONNEL SPECIALISE EN FROID,NON PRIORITAIRE,NON PRIORITAIRE
96,278,279,AUTRES SERVICES,GESTION D'AGENDA VIRTUEL ET PRISE DE RDV,GESTION D'AGENDA VIRTUEL ET PRISE DE RDV,SERVICE DE GESTION D'AGENDA VIRTUEL ET PRISE DE RDV PROPOSE À DOMICILE OU SUR SITE SELON LES BESOINS DU CLIENT.,PROFESSIONNEL SPECIALISE EN GESTION D'AGENDA VIRTUEL ET PRISE DE RDV,NON PRIORITAIRE,NON PRIORITAIRE
97,205,206,AUTRES SERVICES,GESTION DES FILES D'ATTENTE,GESTION DES FILES D'ATTENTE,SERVICE DE GESTION DES FILES D'ATTENTE PROPOSE À DOMICILE OU SUR SITE SELON LES BESOINS DU CLIENT.,PROFESSIONNEL SPECIALISE EN GESTION DES FILES D'ATTENTE,NON PRIORITAIRE,NON PRIORITAIRE
98,220,221,AUTRES SERVICES,GESTION DU BAR,GESTION DU BAR,SERVICE DE GESTION DU BAR PROPOSE À DOMICILE OU SUR SITE SELON LES BESOINS DU CLIENT.,PROFESSIONNEL SPECIALISE EN GESTION DU BAR,NON PRIORITAIRE,NON PRIORITAIRE
99,132,133,AUTRES SERVICES,HABILLAGE ET DESHABILLAGE,HABILLAGE ET DESHABILLAGE,SERVICE DE HABILLAGE ET DESHABILLAGE PROPOSE À DOMICILE OU SUR SITE SELON LES BESOINS DU CLIENT.,PROFESSIONNEL SPECIALISE EN HABILLAGE ET DESHABILLAGE,NON PRIORITAIRE,NON PRIORITAIRE
100,29,30,AUTRES SERVICES,HOMMEFEMME A TOUT FAIRE,HOMMEFEMME A TOUT FAIRE,SERVICE DE HOMMEFEMME À TOUT FAIRE PROPOSE À DOMICILE OU SUR SITE SELON LES BESOINS DU CLIENT.,PROFESSIONNEL SPECIALISE EN HOMMEFEMME À TOUT FAIRE,NON PRIORITAIRE,NON PRIORITAIRE
109,165,166,AUTRES SERVICES,INFOGRAPHES,INFOGRAPHES,SERVICE DE INFOGRAPHES PROPOSE À DOMICILE OU SUR SITE SELON LES BESOINS DU CLIENT.,PROFESSIONNEL SPECIALISE EN INFOGRAPHES,NON PRIORITAIRE,NON PRIORITAIRE
110,164,165,AUTRES SERVICES,INFORMATICIENS,INFORMATICIENS,SERVICE DE INFORMATICIENS PROPOSE À DOMICILE OU SUR SITE SELON LES BESOINS DU CLIENT.,PROFESSIONNEL SPECIALISE EN INFORMATICIENS,NON PRIORITAIRE,NON PRIORITAIRE
111,170,171,AUTRES SERVICES,J'ENGAGE UN SPECIALISTE DE LA BEAUTE ET DU BIEN-ETRE,J'ENGAGE UN SPECIALISTE DE LA BEAUTE ET DU BIEN-ETRE,SERVICE DE J'ENGAGE UN SPECIALISTE DE LA BEAUTE ET DU BIEN-ÊTRE PROPOSE À DOMICILE OU SUR SITE SELON LES BESOINS DU CLIENT.,PROFESSIONNEL SPECIALISE EN J'ENGAGE UN SPECIALISTE DE LA BEAUTE ET DU BIEN-ÊTRE,NON PRIORITAIRE,NON PRIORITAIRE
112,217,218,AUTRES SERVICES,J'ORGANISE LA MEILLEURE FETE,J'ORGANISE LA MEILLEURE FETE,SERVICE DE J'ORGANISE LA MEILLEURE FÊTE PROPOSE À DOMICILE OU SUR SITE SELON LES BESOINS DU CLIENT.,PROFESSIONNEL SPECIALISE EN J'ORGANISE LA MEILLEURE FÊTE,NON PRIORITAIRE,NON PRIORITAIRE
113,51,52,AUTRES SERVICES,JARDINIERS,JARDINIERS,SERVICE DE JARDINIERS PROPOSE À DOMICILE OU SUR SITE SELON LES BESOINS DU CLIENT.,PROFESSIONNEL SPECIALISE EN JARDINIERS,NON PRIORITAIRE,NON PRIORITAIRE
114,58,59,AUTRES SERVICES,JE DELEGUE LES PETITS TRAVAUX,JE DELEGUE LES PETITS TRAVAUX,SERVICE DE JE DELEGUE LES PETITS TRAVAUX PROPOSE À DOMICILE OU SUR SITE SELON LES BESOINS DU CLIENT.,PROFESSIONNEL SPECIALISE EN JE DELEGUE LES PETITS TRAVAUX,NON PRIORITAIRE,NON PRIORITAIRE
115,274,275,AUTRES SERVICES,JE DELEGUE MES TACHES ADMINISTRATIVES,JE DELEGUE MES TACHES ADMINISTRATIVES,SERVICE DE JE DELEGUE MES TACHES ADMINISTRATIVES PROPOSE À DOMICILE OU SUR SITE SELON LES BESOINS DU CLIENT.,PROFESSIONNEL SPECIALISE EN JE DELEGUE MES TACHES ADMINISTRATIVES,NON PRIORITAIRE,NON PRIORITAIRE
116,198,199,AUTRES SERVICES,JE ME FAIS ACCOMPAGNER,JE ME FAIS ACCOMPAGNER,SERVICE DE JE ME FAIS ACCOMPAGNER PROPOSE À DOMICILE OU SUR SITE SELON LES BESOINS DU CLIENT.,PROFESSIONNEL SPECIALISE EN JE ME FAIS ACCOMPAGNER,NON PRIORITAIRE,NON PRIORITAIRE
117,144,145,AUTRES SERVICES,JE ME FAIS ASSISTER DANS L'USAGE DES TIC,JE ME FAIS ASSISTER DANS L'USAGE DES TIC,SERVICE DE JE ME FAIS ASSISTER DANS L'USAGE DES TIC PROPOSE À DOMICILE OU SUR SITE SELON LES BESOINS DU CLIENT.,PROFESSIONNEL SPECIALISE EN JE ME FAIS ASSISTER DANS L'USAGE DES TIC,NON PRIORITAIRE,NON PRIORITAIRE
118,296,297,AUTRES SERVICES,JURISTES,JURISTES,SERVICE DE JURISTES PROPOSE À DOMICILE OU SUR SITE SELON LES BESOINS DU CLIENT.,PROFESSIONNEL SPECIALISE EN JURISTES,NON PRIORITAIRE,NON PRIORITAIRE
119,141,142,AUTRES SERVICES,KINESI-THERAPEUTE,KINESI-THERAPEUTE,SERVICE DE KINESI-THERAPEUTE PROPOSE À DOMICILE OU SUR SITE SELON LES BESOINS DU CLIENT.,PROFESSIONNEL SPECIALISE EN KINESI-THERAPEUTE,NON PRIORITAIRE,NON PRIORITAIRE
120,236,237,AUTRES SERVICES,LOCATION DE MATERIEL EVENEMENTIEL,LOCATION DE MATERIEL EVENEMENTIEL,SERVICE DE LOCATION DE MATERIEL EVENEMENTIEL PROPOSE À DOMICILE OU SUR SITE SELON LES BESOINS DU CLIENT.,PROFESSIONNEL SPECIALISE EN LOCATION DE MATERIEL EVENEMENTIEL,NON PRIORITAIRE,NON PRIORITAIRE
121,195,196,AUTRES SERVICES,MAKE-UP ARTISTS,MAKE-UP ARTISTS,SERVICE DE MAKE-UP ARTISTS PROPOSE À DOMICILE OU SUR SITE SELON LES BESOINS DU CLIENT.,PROFESSIONNEL SPECIALISE EN MAKE-UP ARTISTS,NON PRIORITAIRE,NON PRIORITAIRE
122,84,85,AUTRES SERVICES,MENUISIERS,MENUISIERS,SERVICE DE MENUISIERS PROPOSE À DOMICILE OU SUR SITE SELON LES BESOINS DU CLIENT.,PROFESSIONNEL SPECIALISE EN MENUISIERS,NON PRIORITAIRE,NON PRIORITAIRE
123,40,41,AUTRES SERVICES,MISE EN FORME DECORATIVE,MISE EN FORME DECORATIVE,SERVICE DE MISE EN FORME DECORATIVE PROPOSE À DOMICILE OU SUR SITE SELON LES BESOINS DU CLIENT.,PROFESSIONNEL SPECIALISE EN MISE EN FORME DECORATIVE,NON PRIORITAIRE,NON PRIORITAIRE
124,238,239,AUTRES SERVICES,MOBILIER,MOBILIER,SERVICE DE MOBILIER PROPOSE À DOMICILE OU SUR SITE SELON LES BESOINS DU CLIENT.,PROFESSIONNEL SPECIALISE EN MOBILIER,NON PRIORITAIRE,NON PRIORITAIRE
125,254,255,AUTRES SERVICES,MONTAGE ET DEMONTAGE DES MEUBLES,MONTAGE ET DEMONTAGE DES MEUBLES,SERVICE DE MONTAGE ET DEMONTAGE DES MEUBLES PROPOSE À DOMICILE OU SUR SITE SELON LES BESOINS DU CLIENT.,PROFESSIONNEL SPECIALISE EN MONTAGE ET DEMONTAGE DES MEUBLES,NON PRIORITAIRE,NON PRIORITAIRE
126,113,114,AUTRES SERVICES,NOUNOU,NOUNOU,SERVICE DE NOUNOU PROPOSE À DOMICILE OU SUR SITE SELON LES BESOINS DU CLIENT.,PROFESSIONNEL SPECIALISE EN NOUNOU,NON PRIORITAIRE,NON PRIORITAIRE
127,290,291,AUTRES SERVICES,NUMERISATION ET ORGANISATION DE DOCMENTS,NUMERISATION ET ORGANISATION DE DOCMENTS,SERVICE DE NUMERISATION ET ORGANISATION DE DOCMENTS PROPOSE À DOMICILE OU SUR SITE SELON LES BESOINS DU CLIENT.,PROFESSIONNEL SPECIALISE EN NUMERISATION ET ORGANISATION DE DOCMENTS,NON PRIORITAIRE,NON PRIORITAIRE
128,148,149,AUTRES SERVICES,OPTIMISATION DES PERFORMANCES,OPTIMISATION DES PERFORMANCES,SERVICE DE OPTIMISATION DES PERFORMANCES PROPOSE À DOMICILE OU SUR SITE SELON LES BESOINS DU CLIENT.,PROFESSIONNEL SPECIALISE EN OPTIMISATION DES PERFORMANCES,NON PRIORITAIRE,NON PRIORITAIRE
129,230,231,AUTRES SERVICES,ORGANISATION D'EVENEMENT,ORGANISATION D'EVENEMENT,SERVICE DE ORGANISATION D'EVENEMENT PROPOSE À DOMICILE OU SUR SITE SELON LES BESOINS DU CLIENT.,PROFESSIONNEL SPECIALISE EN ORGANISATION D'EVENEMENT,NON PRIORITAIRE,NON PRIORITAIRE
130,283,284,AUTRES SERVICES,ORIENTATION VERS DES PROFESSIONNELS DU DROIT,ORIENTATION VERS DES PROFESSIONNELS DU DROIT,SERVICE DE ORIENTATION VERS DES PROFESSIONNELS DU DROIT PROPOSE À DOMICILE OU SUR SITE SELON LES BESOINS DU CLIENT.,PROFESSIONNEL SPECIALISE EN ORIENTATION VERS DES PROFESSIONNELS DU DROIT,NON PRIORITAIRE,NON PRIORITAIRE
131,21,22,AUTRES SERVICES,PROFESSIONNELS REQUIS,PROFESSIONNELS REQUIS,SERVICE DE PROFESSIONNELS REQUIS PROPOSE À DOMICILE OU SUR SITE SELON LES BESOINS DU CLIENT.,PROFESSIONNEL SPECIALISE EN PROFESSIONNELS REQUIS,NON PRIORITAIRE,NON PRIORITAIRE
142,286,287,AUTRES SERVICES,PASSEPORTVISA,PASSEPORTVISA,SERVICE DE PASSEPORTVISA PROPOSE À DOMICILE OU SUR SITE SELON LES BESOINS DU CLIENT.,PROFESSIONNEL SPECIALISE EN PASSEPORTVISA,NON PRIORITAIRE,NON PRIORITAIRE
143,52,53,AUTRES SERVICES,PAYSAGISTES,PAYSAGISTES,SERVICE DE PAYSAGISTES PROPOSE À DOMICILE OU SUR SITE SELON LES BESOINS DU CLIENT.,PROFESSIONNEL SPECIALISE EN PAYSAGISTES,NON PRIORITAIRE,NON PRIORITAIRE
145,87,88,AUTRES SERVICES,PEINTRES,PEINTRES,SERVICE DE PEINTRES PROPOSE À DOMICILE OU SUR SITE SELON LES BESOINS DU CLIENT.,PROFESSIONNEL SPECIALISE EN PEINTRES,NON PRIORITAIRE,NON PRIORITAIRE
147,72,73,AUTRES SERVICES,PEINTURE ET RENOVATION,PEINTURE ET RENOVATION,SERVICE DE PEINTURE ET RENOVATION PROPOSE À DOMICILE OU SUR SITE SELON LES BESOINS DU CLIENT.,PROFESSIONNEL SPECIALISE EN PEINTURE ET RENOVATION,NON PRIORITAIRE,NON PRIORITAIRE
148,223,224,AUTRES SERVICES,PETIT-DEJEUNER,PETIT-DEJEUNER,SERVICE DE PETIT-DEJEUNER PROPOSE À DOMICILE OU SUR SITE SELON LES BESOINS DU CLIENT.,PROFESSIONNEL SPECIALISE EN PETIT-DEJEUNER,NON PRIORITAIRE,NON PRIORITAIRE
149,75,76,AUTRES SERVICES,PETITS TRAVAUX DE PLATERIE,PETITS TRAVAUX DE PLATERIE,SERVICE DE PETITS TRAVAUX DE PLATERIE PROPOSE À DOMICILE OU SUR SITE SELON LES BESOINS DU CLIENT.,PROFESSIONNEL SPECIALISE EN PETITS TRAVAUX DE PLATERIE,NON PRIORITAIRE,NON PRIORITAIRE
150,166,167,AUTRES SERVICES,PHOTOGRAPHES,PHOTOGRAPHES,SERVICE DE PHOTOGRAPHES PROPOSE À DOMICILE OU SUR SITE SELON LES BESOINS DU CLIENT.,PROFESSIONNEL SPECIALISE EN PHOTOGRAPHES,NON PRIORITAIRE,NON PRIORITAIRE
151,157,158,AUTRES SERVICES,PHOTOGRAPHIE ET RETOUCHE,PHOTOGRAPHIE ET RETOUCHE,SERVICE DE PHOTOGRAPHIE ET RETOUCHE PROPOSE À DOMICILE OU SUR SITE SELON LES BESOINS DU CLIENT.,PROFESSIONNEL SPECIALISE EN PHOTOGRAPHIE ET RETOUCHE,NON PRIORITAIRE,NON PRIORITAIRE
152,53,54,AUTRES SERVICES,PISCINISTE,PISCINISTE,SERVICE DE PISCINISTE PROPOSE À DOMICILE OU SUR SITE SELON LES BESOINS DU CLIENT.,PROFESSIONNEL SPECIALISE EN PISCINISTE,NON PRIORITAIRE,NON PRIORITAIRE
153,127,128,AUTRES SERVICES,PLANIFICATION DES MENUS,PLANIFICATION DES MENUS,SERVICE DE PLANIFICATION DES MENUS PROPOSE À DOMICILE OU SUR SITE SELON LES BESOINS DU CLIENT.,PROFESSIONNEL SPECIALISE EN PLANIFICATION DES MENUS,NON PRIORITAIRE,NON PRIORITAIRE
154,46,47,AUTRES SERVICES,PLANTATION DE FLEURS ET ARBUSTES,PLANTATION DE FLEURS ET ARBUSTES,SERVICE DE PLANTATION DE FLEURS ET ARBUSTES PROPOSE À DOMICILE OU SUR SITE SELON LES BESOINS DU CLIENT.,PROFESSIONNEL SPECIALISE EN PLANTATION DE FLEURS ET ARBUSTES,NON PRIORITAIRE,NON PRIORITAIRE
155,16,17,AUTRES SERVICES,PLIAGE ET RANGEMENT,PLIAGE ET RANGEMENT,SERVICE DE PLIAGE ET RANGEMENT PROPOSE À DOMICILE OU SUR SITE SELON LES BESOINS DU CLIENT.,PROFESSIONNEL SPECIALISE EN PLIAGE ET RANGEMENT,NON PRIORITAIRE,NON PRIORITAIRE
156,85,86,AUTRES SERVICES,PLOMBIERS,PLOMBIERS,SERVICE DE PLOMBIERS PROPOSE À DOMICILE OU SUR SITE SELON LES BESOINS DU CLIENT.,PROFESSIONNEL SPECIALISE EN PLOMBIERS,NON PRIORITAIRE,NON PRIORITAIRE
157,136,137,AUTRES SERVICES,PORTAGE DE SACS,PORTAGE DE SACS,SERVICE DE PORTAGE DE SACS PROPOSE À DOMICILE OU SUR SITE SELON LES BESOINS DU CLIENT.,PROFESSIONNEL SPECIALISE EN PORTAGE DE SACS,NON PRIORITAIRE,NON PRIORITAIRE
158,28,29,AUTRES SERVICES,PRESSING BLANCHISSEUR (SE),PRESSING BLANCHISSEUR (SE),SERVICE DE PRESSING BLANCHISSEUR (SE) PROPOSE À DOMICILE OU SUR SITE SELON LES BESOINS DU CLIENT.,PROFESSIONNEL SPECIALISE EN PRESSING BLANCHISSEUR (SE),NON PRIORITAIRE,NON PRIORITAIRE
159,246,247,AUTRES SERVICES,PROFESSIONNELS DE L'EVENEMENTIEL,PROFESSIONNELS DE L'EVENEMENTIEL,SERVICE DE PROFESSIONNELS DE L'EVENEMENTIEL PROPOSE À DOMICILE OU SUR SITE SELON LES BESOINS DU CLIENT.,PROFESSIONNEL SPECIALISE EN PROFESSIONNELS DE L'EVENEMENTIEL,NON PRIORITAIRE,NON PRIORITAIRE
160,189,190,AUTRES SERVICES,PROGRAMMES DE REMISE EN FORME,PROGRAMMES DE REMISE EN FORME,SERVICE DE PROGRAMMES DE REMISE EN FORME PROPOSE À DOMICILE OU SUR SITE SELON LES BESOINS DU CLIENT.,PROFESSIONNEL SPECIALISE EN PROGRAMMES DE REMISE EN FORME,NON PRIORITAIRE,NON PRIORITAIRE
161,100,101,AUTRES SERVICES,PREPARATION AUX EXAMENS,PREPARATION AUX EXAMENS,SERVICE DE PREPARATION AUX EXAMENS PROPOSE À DOMICILE OU SUR SITE SELON LES BESOINS DU CLIENT.,PROFESSIONNEL SPECIALISE EN PREPARATION AUX EXAMENS,NON PRIORITAIRE,NON PRIORITAIRE
162,126,127,AUTRES SERVICES,PREPARATION DE REPAS,PREPARATION DE REPAS,SERVICE DE PREPARATION DE REPAS PROPOSE À DOMICILE OU SUR SITE SELON LES BESOINS DU CLIENT.,PROFESSIONNEL SPECIALISE EN PREPARATION DE REPAS,PRIORITAIRE,PRIORITAIRE
163,128,129,AUTRES SERVICES,PREPARATION DE REPAS EQUILIBRES,PREPARATION DE REPAS EQUILIBRES,SERVICE DE PREPARATION DE REPAS EQUILIBRES PROPOSE À DOMICILE OU SUR SITE SELON LES BESOINS DU CLIENT.,PROFESSIONNEL SPECIALISE EN PREPARATION DE REPAS EQUILIBRES,PRIORITAIRE,PRIORITAIRE
164,97,98,AUTRES SERVICES,PREPARATION DES REPAS ET COLLATION,PREPARATION DES REPAS ET COLLATION,SERVICE DE PREPARATION DES REPAS ET COLLATION PROPOSE À DOMICILE OU SUR SITE SELON LES BESOINS DU CLIENT.,PROFESSIONNEL SPECIALISE EN PREPARATION DES REPAS ET COLLATION,PRIORITAIRE,PRIORITAIRE
165,73,74,AUTRES SERVICES,"PREPARATION DES SURFACES (PONCAGE, ENDUIT)","PREPARATION DES SURFACES (PONCAGE, ENDUIT)","SERVICE DE PREPARATION DES SURFACES (PONÇAGE, ENDUIT) PROPOSE À DOMICILE OU SUR SITE SELON LES BESOINS DU CLIENT.","PROFESSIONNEL SPECIALISE EN PREPARATION DES SURFACES (PONÇAGE, ENDUIT)",NON PRIORITAIRE,NON PRIORITAIRE
166,219,220,AUTRES SERVICES,PREPARATION ET SERVICES DE BOISSONS,PREPARATION ET SERVICES DE BOISSONS,SERVICE DE PREPARATION ET SERVICES DE BOISSONS PROPOSE À DOMICILE OU SUR SITE SELON LES BESOINS DU CLIENT.,PROFESSIONNEL SPECIALISE EN PREPARATION ET SERVICES DE BOISSONS,NON PRIORITAIRE,NON PRIORITAIRE
167,44,45,AUTRES SERVICES,PREVENTION DE LA REPOUSSE,PREVENTION DE LA REPOUSSE,SERVICE DE PREVENTION DE LA REPOUSSE PROPOSE À DOMICILE OU SUR SITE SELON LES BESOINS DU CLIENT.,PROFESSIONNEL SPECIALISE EN PREVENTION DE LA REPOUSSE,NON PRIORITAIRE,NON PRIORITAIRE
168,117,118,AUTRES SERVICES,PSYCHOLOGUES,PSYCHOLOGUES,SERVICE DE PSYCHOLOGUES PROPOSE À DOMICILE OU SUR SITE SELON LES BESOINS DU CLIENT.,PROFESSIONNEL SPECIALISE EN PSYCHOLOGUES,NON PRIORITAIRE,NON PRIORITAIRE
169,255,256,AUTRES SERVICES,RAMASSAGE D'ORDURES,RAMASSAGE D'ORDURES,SERVICE DE RAMASSAGE D'ORDURES PROPOSE À DOMICILE OU SUR SITE SELON LES BESOINS DU CLIENT.,PROFESSIONNEL SPECIALISE EN RAMASSAGE D'ORDURES,NON PRIORITAIRE,NON PRIORITAIRE
170,265,266,AUTRES SERVICES,RANGEMENT DES ESPACES DE TRAVAIL,RANGEMENT DES ESPACES DE TRAVAIL,SERVICE DE RANGEMENT DES ESPACES DE TRAVAIL PROPOSE À DOMICILE OU SUR SITE SELON LES BESOINS DU CLIENT.,PROFESSIONNEL SPECIALISE EN RANGEMENT DES ESPACES DE TRAVAIL,NON PRIORITAIRE,NON PRIORITAIRE
171,264,265,AUTRES SERVICES,RANGEMENT DES ESPACES DOMESTIQUES,RANGEMENT DES ESPACES DOMESTIQUES,SERVICE DE RANGEMENT DES ESPACES DOMESTIQUES PROPOSE À DOMICILE OU SUR SITE SELON LES BESOINS DU CLIENT.,PROFESSIONNEL SPECIALISE EN RANGEMENT DES ESPACES DOMESTIQUES,NON PRIORITAIRE,NON PRIORITAIRE
172,68,69,AUTRES SERVICES,REMPLACEMENT D'AMPOULES ET PRISES,REMPLACEMENT D'AMPOULES ET PRISES,SERVICE DE REMPLACEMENT D'AMPOULES ET PRISES PROPOSE À DOMICILE OU SUR SITE SELON LES BESOINS DU CLIENT.,PROFESSIONNEL SPECIALISE EN REMPLACEMENT D'AMPOULES ET PRISES,NON PRIORITAIRE,NON PRIORITAIRE
173,147,148,AUTRES SERVICES,RESOLUTION DE PROBLEMES TECHNIQUES,RESOLUTION DE PROBLEMES TECHNIQUES,SERVICE DE RESOLUTION DE PROBLEMES TECHNIQUES PROPOSE À DOMICILE OU SUR SITE SELON LES BESOINS DU CLIENT.,PROFESSIONNEL SPECIALISE EN RESOLUTION DE PROBLEMES TECHNIQUES,NON PRIORITAIRE,NON PRIORITAIRE
174,279,280,AUTRES SERVICES,REDACTION DE COURRIERS ET EMAILS,REDACTION DE COURRIERS ET EMAILS,SERVICE DE REDACTION DE COURRIERS ET EMAILS PROPOSE À DOMICILE OU SUR SITE SELON LES BESOINS DU CLIENT.,PROFESSIONNEL SPECIALISE EN REDACTION DE COURRIERS ET EMAILS,NON PRIORITAIRE,NON PRIORITAIRE
175,186,187,AUTRES SERVICES,REFLEXOLOGIE PLANTAIRE,REFLEXOLOGIE PLANTAIRE,SERVICE DE REFLEXOLOGIE PLANTAIRE PROPOSE À DOMICILE OU SUR SITE SELON LES BESOINS DU CLIENT.,PROFESSIONNEL SPECIALISE EN REFLEXOLOGIE PLANTAIRE,NON PRIORITAIRE,NON PRIORITAIRE
176,267,268,AUTRES SERVICES,RENOVATION,RENOVATION,SERVICE DE RENOVATION PROPOSE À DOMICILE OU SUR SITE SELON LES BESOINS DU CLIENT.,PROFESSIONNEL SPECIALISE EN RENOVATION,NON PRIORITAIRE,NON PRIORITAIRE
177,71,72,AUTRES SERVICES,REPARATEURS D'APPAREILS ELECTROMENAGERS,REPARATEURS D'APPAREILS ELECTROMENAGERS,SERVICE DE REPARATEURS D'APPAREILS ELECTROMENAGERS PROPOSE À DOMICILE OU SUR SITE SELON LES BESOINS DU CLIENT.,PROFESSIONNEL SPECIALISE EN REPARATEURS D'APPAREILS ELECTROMENAGERS,NON PRIORITAIRE,NON PRIORITAIRE
178,239,240,AUTRES SERVICES,SONORISATION PROJECTION,SONORISATION PROJECTION,SERVICE DE SONORISATION PROJECTION PROPOSE À DOMICILE OU SUR SITE SELON LES BESOINS DU CLIENT.,PROFESSIONNEL SPECIALISE EN SONORISATION PROJECTION,NON PRIORITAIRE,NON PRIORITAIRE
