service_id,category,subcategory,service_name,description,professional_required,priority_level,priority
125,AUTRES SERVICES,,UTILISATION DE FAUTEUILS ROULANTS ET DEAMBULATEURS,SERVICE DE UTILISATION DE FAUTEUILS ROULANTS ET DEAMBULATEURS PROPOSE A DOMICILE OU SUR SITE SELON LES BESOINS DU CLIENT.,PROFESSIONNEL SPECIALISE EN UTILISATION DE FAUTEUILS ROULANTS ET DEAMBULATEURS,NON PRIORITAIRE,NON PRIORITAIRE
126,AIDE AUX PERSONNES AGEES OU DEPENDANTES,,EXERCICES DE MOBILITE,SERVICE DE EXERCICES DE MOBILITE PROPOSE A DOMICILE OU SUR SITE SELON LES BESOINS DU CLIENT.,PROFESSIONNEL SPECIALISE EN EXERCICES DE MOBILITE,PRIORITAIRE,NON PRIORITAIRE
128,AUTRES SERVICES,,PLANIFICATION DES MENUS,SERVICE DE PLANIFICATION DES MENUS PROPOSE A DOMICILE OU SUR SITE SELON LES BESOINS DU CLIENT.,PROFESSIONNEL SPECIALISE EN PLANIFICATION DES MENUS,NON PRIORITAIRE,NON PRIORITAIRE
130,AIDE AUX PERSONNES AGEES OU DEPENDANTES,,AIDE A L'ALIMENTATION,SERVICE DE AIDE A L'ALIMENTATION PROPOSE A DOMICILE OU SUR SITE SELON LES BESOINS DU CLIENT.,PROFESSIONNEL SPECIALISE EN AIDE A L'ALIMENTATION,PRIORITAIRE,NON PRIORITAIRE
131,AIDE AUX PERSONNES AGEES OU DEPENDANTES,,AIDE A L'HYGIENE PERSONNELLE,SERVICE DE AIDE A L'HYGIENE PERSONNELLE PROPOSE A DOMICILE OU SUR SITE SELON LES BESOINS DU CLIENT.,PROFESSIONNEL SPECIALISE EN AIDE A L'HYGIENE PERSONNELLE,PRIORITAIRE,NON PRIORITAIRE
132,AUTRES SERVICES,,AIDE A LA TOILETTE QUOTIDIENNE,SERVICE DE AIDE A LA TOILETTE QUOTIDIENNE PROPOSE A DOMICILE OU SUR SITE SELON LES BESOINS DU CLIENT.,PROFESSIONNEL SPECIALISE EN AIDE A LA TOILETTE QUOTIDIENNE,NON PRIORITAIRE,NON PRIORITAIRE
133,AUTRES SERVICES,,HABILLAGE ET DESHABILLAGE,SERVICE DE HABILLAGE ET DESHABILLAGE PROPOSE A DOMICILE OU SUR SITE SELON LES BESOINS DU CLIENT.,PROFESSIONNEL SPECIALISE EN HABILLAGE ET DESHABILLAGE,NON PRIORITAIRE,NON PRIORITAIRE
134,AIDE AUX PERSONNES AGEES OU DEPENDANTES,,SOINS D'HYGIENE DE BASE,SERVICE DE SOINS D'HYGIENE DE BASE PROPOSE A DOMICILE OU SUR SITE SELON LES BESOINS DU CLIENT.,PROFESSIONNEL SPECIALISE EN SOINS D'HYGIENE DE BASE,PRIORITAIRE,NON PRIORITAIRE
135,TRANSPORT ET ACCOMPAGNEMENT,,ACCOMPAGNEMENT POUR LES COURSES,SERVICE DE ACCOMPAGNEMENT POUR LES COURSES PROPOSE A DOMICILE OU SUR SITE SELON LES BESOINS DU CLIENT.,PROFESSIONNEL SPECIALISE EN ACCOMPAGNEMENT POUR LES COURSES,PRIORITAIRE,NON PRIORITAIRE
137,AUTRES SERVICES,,PORTAGE DE SACS,SERVICE DE PORTAGE DE SACS PROPOSE A DOMICILE OU SUR SITE SELON LES BESOINS DU CLIENT.,PROFESSIONNEL SPECIALISE EN PORTAGE DE SACS,NON PRIORITAIRE,NON PRIORITAIRE
138,AUTRES SERVICES,,AIDE A LA GESTION DES ACHATS,SERVICE DE AIDE A LA GESTION DES ACHATS PROPOSE A DOMICILE OU SUR SITE SELON LES BESOINS DU CLIENT.,PROFESSIONNEL SPECIALISE EN AIDE A LA GESTION DES ACHATS,NON PRIORITAIRE,NON PRIORITAIRE
140,AUTRES SERVICES,,AIDE-SOIGNANT(ES),SERVICE DE AIDE-SOIGNANT(ES) PROPOSE A DOMICILE OU SUR SITE SELON LES BESOINS DU CLIENT.,PROFESSIONNEL SPECIALISE EN AIDE-SOIGNANT(ES),NON PRIORITAIRE,NON PRIORITAIRE
142,AUTRES SERVICES,,KINESI-THERAPEUTE,SERVICE DE KINESI-THERAPEUTE PROPOSE A DOMICILE OU SUR SITE SELON LES BESOINS DU CLIENT.,PROFESSIONNEL SPECIALISE EN KINESI-THERAPEUTE,NON PRIORITAIRE,NON PRIORITAIRE
143,AUTRES SERVICES,,DIETETICIENS,SERVICE DE DIETETICIENS PROPOSE A DOMICILE OU SUR SITE SELON LES BESOINS DU CLIENT.,PROFESSIONNEL SPECIALISE EN DIETETICIENS,NON PRIORITAIRE,NON PRIORITAIRE
145,AUTRES SERVICES,,JE ME FAIS ASSISTER DANS L'USAGE DES TIC,SERVICE DE JE ME FAIS ASSISTER DANS L'USAGE DES TIC PROPOSE A DOMICILE OU SUR SITE SELON LES BESOINS DU CLIENT.,PROFESSIONNEL SPECIALISE EN JE ME FAIS ASSISTER DANS L'USAGE DES TIC,NON PRIORITAIRE,NON PRIORITAIRE
147,INFORMATIQUE ET TECH,,CONFIGURATION DE NOUVEAUX APPAREILS,SERVICE DE CONFIGURATION DE NOUVEAUX APPAREILS PROPOSE A DOMICILE OU SUR SITE SELON LES BESOINS DU CLIENT.,PROFESSIONNEL SPECIALISE EN CONFIGURATION DE NOUVEAUX APPAREILS,PRIORITAIRE,NON PRIORITAIRE
148,AUTRES SERVICES,,RESOLUTION DE PROBLEMES TECHNIQUES,SERVICE DE RESOLUTION DE PROBLEMES TECHNIQUES PROPOSE A DOMICILE OU SUR SITE SELON LES BESOINS DU CLIENT.,PROFESSIONNEL SPECIALISE EN RESOLUTION DE PROBLEMES TECHNIQUES,NON PRIORITAIRE,NON PRIORITAIRE
149,AUTRES SERVICES,,OPTIMISATION DES PERFORMANCES,SERVICE DE OPTIMISATION DES PERFORMANCES PROPOSE A DOMICILE OU SUR SITE SELON LES BESOINS DU CLIENT.,PROFESSIONNEL SPECIALISE EN OPTIMISATION DES PERFORMANCES,NON PRIORITAIRE,NON PRIORITAIRE
151,INFORMATIQUE ET TECH,,INSTALLATION DE LOGICIELS ET MATERIEL,SERVICE DE INSTALLATION DE LOGICIELS ET MATERIEL PROPOSE A DOMICILE OU SUR SITE SELON LES BESOINS DU CLIENT.,PROFESSIONNEL SPECIALISE EN INSTALLATION DE LOGICIELS ET MATERIEL,PRIORITAIRE,NON PRIORITAIRE
152,INFORMATIQUE ET TECH,,INSTALLATION ET MISE A JOUR DE LOGICIELS,SERVICE DE INSTALLATION ET MISE A JOUR DE LOGICIELS PROPOSE A DOMICILE OU SUR SITE SELON LES BESOINS DU CLIENT.,PROFESSIONNEL SPECIALISE EN INSTALLATION ET MISE A JOUR DE LOGICIELS,PRIORITAIRE,NON PRIORITAIRE
153,INFORMATIQUE ET TECH,,INSTALLATION D'IMPRIMANTES ET SCANNERS,SERVICE DE INSTALLATION D'IMPRIMANTES ET SCANNERS PROPOSE A DOMICILE OU SUR SITE SELON LES BESOINS DU CLIENT.,PROFESSIONNEL SPECIALISE EN INSTALLATION D'IMPRIMANTES ET SCANNERS,PRIORITAIRE,NON PRIORITAIRE
154,INFORMATIQUE ET TECH,,CONFIGURATION DE RESEAUX DOMESTIQUES,SERVICE DE CONFIGURATION DE RESEAUX DOMESTIQUES PROPOSE A DOMICILE OU SUR SITE SELON LES BESOINS DU CLIENT.,PROFESSIONNEL SPECIALISE EN CONFIGURATION DE RESEAUX DOMESTIQUES,PRIORITAIRE,NON PRIORITAIRE
155,INFORMATIQUE ET TECH,,GRAPHISME ET CONCEPTION,SERVICE DE GRAPHISME ET CONCEPTION PROPOSE A DOMICILE OU SUR SITE SELON LES BESOINS DU CLIENT.,PROFESSIONNEL SPECIALISE EN GRAPHISME ET CONCEPTION,PRIORITAIRE,NON PRIORITAIRE
156,AUTRES SERVICES,,CONCEPTION GRAPHIQUE,SERVICE DE CONCEPTION GRAPHIQUE PROPOSE A DOMICILE OU SUR SITE SELON LES BESOINS DU CLIENT.,PROFESSIONNEL SPECIALISE EN CONCEPTION GRAPHIQUE,NON PRIORITAIRE,NON PRIORITAIRE
157,INFORMATIQUE ET TECH,,DESIGN WEB,SERVICE DE DESIGN WEB PROPOSE A DOMICILE OU SUR SITE SELON LES BESOINS DU CLIENT.,PROFESSIONNEL SPECIALISE EN DESIGN WEB,PRIORITAIRE,NON PRIORITAIRE
158,AUTRES SERVICES,,PHOTOGRAPHIE ET RETOUCHE,SERVICE DE PHOTOGRAPHIE ET RETOUCHE PROPOSE A DOMICILE OU SUR SITE SELON LES BESOINS DU CLIENT.,PROFESSIONNEL SPECIALISE EN PHOTOGRAPHIE ET RETOUCHE,NON PRIORITAIRE,NON PRIORITAIRE
159,AUTRES SERVICES,,ANIMATION ET MOTION DESIGN,SERVICE DE ANIMATION ET MOTION DESIGN PROPOSE A DOMICILE OU SUR SITE SELON LES BESOINS DU CLIENT.,PROFESSIONNEL SPECIALISE EN ANIMATION ET MOTION DESIGN,NON PRIORITAIRE,NON PRIORITAIRE
160,AUTRES SERVICES,,FORMATION AUX TIC,SERVICE DE FORMATION AUX TIC PROPOSE A DOMICILE OU SUR SITE SELON LES BESOINS DU CLIENT.,PROFESSIONNEL SPECIALISE EN FORMATION AUX TIC,NON PRIORITAIRE,NON PRIORITAIRE
162,AUTRES SERVICES,,UTILISATION DES RESEAUX SOCIAUX,SERVICE DE UTILISATION DES RESEAUX SOCIAUX PROPOSE A DOMICILE OU SUR SITE SELON LES BESOINS DU CLIENT.,PROFESSIONNEL SPECIALISE EN UTILISATION DES RESEAUX SOCIAUX,NON PRIORITAIRE,NON PRIORITAIRE
163,INFORMATIQUE ET TECH,,UTILISATION SMARTPHONES TABLETTES,SERVICE DE UTILISATION SMARTPHONES TABLETTES PROPOSE A DOMICILE OU SUR SITE SELON LES BESOINS DU CLIENT.,PROFESSIONNEL SPECIALISE EN UTILISATION SMARTPHONES TABLETTES,PRIORITAIRE,NON PRIORITAIRE
165,AUTRES SERVICES,,INFORMATICIENS,SERVICE DE INFORMATICIENS PROPOSE A DOMICILE OU SUR SITE SELON LES BESOINS DU CLIENT.,PROFESSIONNEL SPECIALISE EN INFORMATICIENS,NON PRIORITAIRE,NON PRIORITAIRE
166,AUTRES SERVICES,,INFOGRAPHES,SERVICE DE INFOGRAPHES PROPOSE A DOMICILE OU SUR SITE SELON LES BESOINS DU CLIENT.,PROFESSIONNEL SPECIALISE EN INFOGRAPHES,NON PRIORITAIRE,NON PRIORITAIRE
167,AUTRES SERVICES,,PHOTOGRAPHES,SERVICE DE PHOTOGRAPHES PROPOSE A DOMICILE OU SUR SITE SELON LES BESOINS DU CLIENT.,PROFESSIONNEL SPECIALISE EN PHOTOGRAPHES,NON PRIORITAIRE,NON PRIORITAIRE
168,AUTRES SERVICES,,DEVELOPPEURS,SERVICE DE DEVELOPPEURS PROPOSE A DOMICILE OU SUR SITE SELON LES BESOINS DU CLIENT.,PROFESSIONNEL SPECIALISE EN DEVELOPPEURS,NON PRIORITAIRE,NON PRIORITAIRE
169,INFORMATIQUE ET TECH,,WEB DESIGNERS,SERVICE DE WEB DESIGNERS PROPOSE A DOMICILE OU SUR SITE SELON LES BESOINS DU CLIENT.,PROFESSIONNEL SPECIALISE EN WEB DESIGNERS,PRIORITAIRE,NON PRIORITAIRE
170,AUTRES SERVICES,,BIEN-ETRE ET BEAUTE,SERVICE DE BIEN-ETRE ET BEAUTE PROPOSE A DOMICILE OU SUR SITE SELON LES BESOINS DU CLIENT.,PROFESSIONNEL SPECIALISE EN BIEN-ETRE ET BEAUTE,NON PRIORITAIRE,NON PRIORITAIRE
171,AUTRES SERVICES,,J'ENGAGE UN SPECIALISTE DE LA BEAUTE ET DU BIEN-ETRE,SERVICE DE J'ENGAGE UN SPECIALISTE DE LA BEAUTE ET DU BIEN-ETRE PROPOSE A DOMICILE OU SUR SITE SELON LES BESOINS DU CLIENT.,PROFESSIONNEL SPECIALISE EN J'ENGAGE UN SPECIALISTE DE LA BEAUTE ET DU BIEN-ETRE,NON PRIORITAIRE,NON PRIORITAIRE
172,BIEN-ETRE ET BEAUTE,,MAQUILLAGE A DOMICILE,SERVICE DE MAQUILLAGE A DOMICILE PROPOSE A DOMICILE OU SUR SITE SELON LES BESOINS DU CLIENT.,PROFESSIONNEL SPECIALISE EN MAQUILLAGE A DOMICILE,NON PRIORITAIRE,NON PRIORITAIRE
173,AUTRES SERVICES,,CASUAL MAKE-UP,SERVICE DE CASUAL MAKE-UP PROPOSE A DOMICILE OU SUR SITE SELON LES BESOINS DU CLIENT.,PROFESSIONNEL SPECIALISE EN CASUAL MAKE-UP,NON PRIORITAIRE,NON PRIORITAIRE
174,AUTRES SERVICES,,FESTIVE MAKE-UP,SERVICE DE FESTIVE MAKE-UP PROPOSE A DOMICILE OU SUR SITE SELON LES BESOINS DU CLIENT.,PROFESSIONNEL SPECIALISE EN FESTIVE MAKE-UP,NON PRIORITAIRE,NON PRIORITAIRE
175,AUTRES SERVICES,,BRIDAL MAKE-UP,SERVICE DE BRIDAL MAKE-UP PROPOSE A DOMICILE OU SUR SITE SELON LES BESOINS DU CLIENT.,PROFESSIONNEL SPECIALISE EN BRIDAL MAKE-UP,NON PRIORITAIRE,NON PRIORITAIRE
178,AUTRES SERVICES,,COLORATION ET MECHES,SERVICE DE COLORATION ET MECHES PROPOSE A DOMICILE OU SUR SITE SELON LES BESOINS DU CLIENT.,PROFESSIONNEL SPECIALISE EN COLORATION ET MECHES,NON PRIORITAIRE,NON PRIORITAIRE
179,BIEN-ETRE ET BEAUTE,,SOINS CAPILLAIRES,SERVICE DE SOINS CAPILLAIRES PROPOSE A DOMICILE OU SUR SITE SELON LES BESOINS DU CLIENT.,PROFESSIONNEL SPECIALISE EN SOINS CAPILLAIRES,NON PRIORITAIRE,NON PRIORITAIRE
180,BIEN-ETRE ET BEAUTE,,SOINS ESTHETIQUES,SERVICE DE SOINS ESTHETIQUES PROPOSE A DOMICILE OU SUR SITE SELON LES BESOINS DU CLIENT.,PROFESSIONNEL SPECIALISE EN SOINS ESTHETIQUES,NON PRIORITAIRE,NON PRIORITAIRE
181,BIEN-ETRE ET BEAUTE,,MANUCURE ET PEDICURE,SERVICE DE MANUCURE ET PEDICURE PROPOSE A DOMICILE OU SUR SITE SELON LES BESOINS DU CLIENT.,PROFESSIONNEL SPECIALISE EN MANUCURE ET PEDICURE,NON PRIORITAIRE,NON PRIORITAIRE
182,BIEN-ETRE ET BEAUTE,,SOINS DU VISAGE,SERVICE DE SOINS DU VISAGE PROPOSE A DOMICILE OU SUR SITE SELON LES BESOINS DU CLIENT.,PROFESSIONNEL SPECIALISE EN SOINS DU VISAGE,NON PRIORITAIRE,NON PRIORITAIRE
183,AUTRES SERVICES,,EPILATION,SERVICE DE EPILATION PROPOSE A DOMICILE OU SUR SITE SELON LES BESOINS DU CLIENT.,PROFESSIONNEL SPECIALISE EN EPILATION,NON PRIORITAIRE,NON PRIORITAIRE
184,BIEN-ETRE ET BEAUTE,,MASSAGE,SERVICE DE MASSAGE PROPOSE A DOMICILE OU SUR SITE SELON LES BESOINS DU CLIENT.,PROFESSIONNEL SPECIALISE EN MASSAGE,NON PRIORITAIRE,NON PRIORITAIRE
185,BIEN-ETRE ET BEAUTE,,MASSAGE RELAXANT,SERVICE DE MASSAGE RELAXANT PROPOSE A DOMICILE OU SUR SITE SELON LES BESOINS DU CLIENT.,PROFESSIONNEL SPECIALISE EN MASSAGE RELAXANT,NON PRIORITAIRE,NON PRIORITAIRE
186,BIEN-ETRE ET BEAUTE,,MASSAGE THERAPEUTIQUE,SERVICE DE MASSAGE THERAPEUTIQUE PROPOSE A DOMICILE OU SUR SITE SELON LES BESOINS DU CLIENT.,PROFESSIONNEL SPECIALISE EN MASSAGE THERAPEUTIQUE,NON PRIORITAIRE,NON PRIORITAIRE
187,AUTRES SERVICES,,REFLEXOLOGIE PLANTAIRE,SERVICE DE REFLEXOLOGIE PLANTAIRE PROPOSE A DOMICILE OU SUR SITE SELON LES BESOINS DU CLIENT.,PROFESSIONNEL SPECIALISE EN REFLEXOLOGIE PLANTAIRE,NON PRIORITAIRE,NON PRIORITAIRE
188,AUTRES SERVICES,,COACHING SPOTIF,SERVICE DE COACHING SPOTIF PROPOSE A DOMICILE OU SUR SITE SELON LES BESOINS DU CLIENT.,PROFESSIONNEL SPECIALISE EN COACHING SPOTIF,NON PRIORITAIRE,NON PRIORITAIRE
189,AUTRES SERVICES,,SEANCES DE FITNESS PERSONNALISES,SERVICE DE SEANCES DE FITNESS PERSONNALISES PROPOSE A DOMICILE OU SUR SITE SELON LES BESOINS DU CLIENT.,PROFESSIONNEL SPECIALISE EN SEANCES DE FITNESS PERSONNALISES,NON PRIORITAIRE,NON PRIORITAIRE
190,AUTRES SERVICES,,PROGRAMMES DE REMISE EN FORME,SERVICE DE PROGRAMMES DE REMISE EN FORME PROPOSE A DOMICILE OU SUR SITE SELON LES BESOINS DU CLIENT.,PROFESSIONNEL SPECIALISE EN PROGRAMMES DE REMISE EN FORME,NON PRIORITAIRE,NON PRIORITAIRE
191,AUTRES SERVICES,,SUIVI NUTRITIONNEL,SERVICE DE SUIVI NUTRITIONNEL PROPOSE A DOMICILE OU SUR SITE SELON LES BESOINS DU CLIENT.,PROFESSIONNEL SPECIALISE EN SUIVI NUTRITIONNEL,NON PRIORITAIRE,NON PRIORITAIRE
193,AUTRES SERVICES,,COACHS SPORTIFS,SERVICE DE COACHS SPORTIFS PROPOSE A DOMICILE OU SUR SITE SELON LES BESOINS DU CLIENT.,PROFESSIONNEL SPECIALISE EN COACHS SPORTIFS,NON PRIORITAIRE,NON PRIORITAIRE
194,AUTRES SERVICES,,ESTHETICIENNES,SERVICE DE ESTHETICIENNES PROPOSE A DOMICILE OU SUR SITE SELON LES BESOINS DU CLIENT.,PROFESSIONNEL SPECIALISE EN ESTHETICIENNES,NON PRIORITAIRE,NON PRIORITAIRE
195,AUTRES SERVICES,,COIFFEURS(EUSES),SERVICE DE COIFFEURS(EUSES) PROPOSE A DOMICILE OU SUR SITE SELON LES BESOINS DU CLIENT.,PROFESSIONNEL SPECIALISE EN COIFFEURS(EUSES),NON PRIORITAIRE,NON PRIORITAIRE
196,AUTRES SERVICES,,MAKE-UP ARTISTS,SERVICE DE MAKE-UP ARTISTS PROPOSE A DOMICILE OU SUR SITE SELON LES BESOINS DU CLIENT.,PROFESSIONNEL SPECIALISE EN MAKE-UP ARTISTS,NON PRIORITAIRE,NON PRIORITAIRE
197,AUTRES SERVICES,,DIETITICIENS,SERVICE DE DIETITICIENS PROPOSE A DOMICILE OU SUR SITE SELON LES BESOINS DU CLIENT.,PROFESSIONNEL SPECIALISE EN DIETITICIENS,NON PRIORITAIRE,NON PRIORITAIRE
199,AUTRES SERVICES,,JE ME FAIS ACCOMPAGNER,SERVICE DE JE ME FAIS ACCOMPAGNER PROPOSE A DOMICILE OU SUR SITE SELON LES BESOINS DU CLIENT.,PROFESSIONNEL SPECIALISE EN JE ME FAIS ACCOMPAGNER,NON PRIORITAIRE,NON PRIORITAIRE
200,AUTRES SERVICES,,TRANSPOT MEDICAL NON URGENT,SERVICE DE TRANSPOT MEDICAL NON URGENT PROPOSE A DOMICILE OU SUR SITE SELON LES BESOINS DU CLIENT.,PROFESSIONNEL SPECIALISE EN TRANSPOT MEDICAL NON URGENT,NON PRIORITAIRE,NON PRIORITAIRE
201,TRANSPORT ET ACCOMPAGNEMENT,,ACCOMPAGNEMENT POUR LES RENDEZ-VOUS MEDICAUX,SERVICE DE ACCOMPAGNEMENT POUR LES RENDEZ-VOUS MEDICAUX PROPOSE A DOMICILE OU SUR SITE SELON LES BESOINS DU CLIENT.,PROFESSIONNEL SPECIALISE EN ACCOMPAGNEMENT POUR LES RENDEZ-VOUS MEDICAUX,PRIORITAIRE,NON PRIORITAIRE
204,TRANSPORT ET ACCOMPAGNEMENT,,ACCOMPAGNEMENT POUR LES RDV,SERVICE DE ACCOMPAGNEMENT POUR LES RDV PROPOSE A DOMICILE OU SUR SITE SELON LES BESOINS DU CLIENT.,PROFESSIONNEL SPECIALISE EN ACCOMPAGNEMENT POUR LES RDV,PRIORITAIRE,NON PRIORITAIRE
206,AUTRES SERVICES,,GESTION DES FILES D'ATTENTE,SERVICE DE GESTION DES FILES D'ATTENTE PROPOSE A DOMICILE OU SUR SITE SELON LES BESOINS DU CLIENT.,PROFESSIONNEL SPECIALISE EN GESTION DES FILES D'ATTENTE,NON PRIORITAIRE,NON PRIORITAIRE
207,TRANSPORT ET ACCOMPAGNEMENT,,ACCOMPAGNEMENT POUR LOISIRS ET SORTIE,SERVICE DE ACCOMPAGNEMENT POUR LOISIRS ET SORTIE PROPOSE A DOMICILE OU SUR SITE SELON LES BESOINS DU CLIENT.,PROFESSIONNEL SPECIALISE EN ACCOMPAGNEMENT POUR LOISIRS ET SORTIE,PRIORITAIRE,NON PRIORITAIRE
208,TRANSPORT ET ACCOMPAGNEMENT,,CHAUFFEUR PRIVE,SERVICE DE CHAUFFEUR PRIVE PROPOSE A DOMICILE OU SUR SITE SELON LES BESOINS DU CLIENT.,PROFESSIONNEL SPECIALISE EN CHAUFFEUR PRIVE,PRIORITAIRE,NON PRIORITAIRE
209,AIDE AUX PERSONNES AGEES OU DEPENDANTES,,SERVICES DE CHAUFFEUR POUR DEPLACEMENTS PRIVES,SERVICE DE SERVICES DE CHAUFFEUR POUR DEPLACEMENTS PRIVES PROPOSE A DOMICILE OU SUR SITE SELON LES BESOINS DU CLIENT.,PROFESSIONNEL SPECIALISE EN SERVICES DE CHAUFFEUR POUR DEPLACEMENTS PRIVES,PRIORITAIRE,NON PRIORITAIRE
214,AUTRES SERVICES,,CHAUFFEURS PRIVES,SERVICE DE CHAUFFEURS PRIVES PROPOSE A DOMICILE OU SUR SITE SELON LES BESOINS DU CLIENT.,PROFESSIONNEL SPECIALISE EN CHAUFFEURS PRIVES,NON PRIORITAIRE,NON PRIORITAIRE
215,AUTRES SERVICES,,CHAUFFEURS BILINGUES,SERVICE DE CHAUFFEURS BILINGUES PROPOSE A DOMICILE OU SUR SITE SELON LES BESOINS DU CLIENT.,PROFESSIONNEL SPECIALISE EN CHAUFFEURS BILINGUES,NON PRIORITAIRE,NON PRIORITAIRE
217,AUTRES SERVICES,,FETES ET EVENEMENTS,SERVICE DE FETES ET EVENEMENTS PROPOSE A DOMICILE OU SUR SITE SELON LES BESOINS DU CLIENT.,PROFESSIONNEL SPECIALISE EN FETES ET EVENEMENTS,NON PRIORITAIRE,NON PRIORITAIRE
218,AUTRES SERVICES,,J'ORGANISE LA MEILLEURE FETE,SERVICE DE J'ORGANISE LA MEILLEURE FETE PROPOSE A DOMICILE OU SUR SITE SELON LES BESOINS DU CLIENT.,PROFESSIONNEL SPECIALISE EN J'ORGANISE LA MEILLEURE FETE,NON PRIORITAIRE,NON PRIORITAIRE
219,AUTRES SERVICES,,BARMAN,SERVICE DE BARMAN PROPOSE A DOMICILE OU SUR SITE SELON LES BESOINS DU CLIENT.,PROFESSIONNEL SPECIALISE EN BARMAN,NON PRIORITAIRE,NON PRIORITAIRE
220,AUTRES SERVICES,,PREPARATION ET SERVICES DE BOISSONS,SERVICE DE PREPARATION ET SERVICES DE BOISSONS PROPOSE A DOMICILE OU SUR SITE SELON LES BESOINS DU CLIENT.,PROFESSIONNEL SPECIALISE EN PREPARATION ET SERVICES DE BOISSONS,NON PRIORITAIRE,NON PRIORITAIRE
221,AUTRES SERVICES,,GESTION DU BAR,SERVICE DE GESTION DU BAR PROPOSE A DOMICILE OU SUR SITE SELON LES BESOINS DU CLIENT.,PROFESSIONNEL SPECIALISE EN GESTION DU BAR,NON PRIORITAIRE,NON PRIORITAIRE
222,AUTRES SERVICES,,EVENEMENTS SPECIAUX,SERVICE DE EVENEMENTS SPECIAUX PROPOSE A DOMICILE OU SUR SITE SELON LES BESOINS DU CLIENT.,PROFESSIONNEL SPECIALISE EN EVENEMENTS SPECIAUX,NON PRIORITAIRE,NON PRIORITAIRE
223,FETES ET EVENEMENTS,,TRAITEUR,SERVICE DE TRAITEUR PROPOSE A DOMICILE OU SUR SITE SELON LES BESOINS DU CLIENT.,PROFESSIONNEL SPECIALISE EN TRAITEUR,NON PRIORITAIRE,NON PRIORITAIRE
224,AUTRES SERVICES,,PETIT-DEJEUNER,SERVICE DE PETIT-DEJEUNER PROPOSE A DOMICILE OU SUR SITE SELON LES BESOINS DU CLIENT.,PROFESSIONNEL SPECIALISE EN PETIT-DEJEUNER,NON PRIORITAIRE,NON PRIORITAIRE
225,AUTRES SERVICES,,BRUNCH,SERVICE DE BRUNCH PROPOSE A DOMICILE OU SUR SITE SELON LES BESOINS DU CLIENT.,PROFESSIONNEL SPECIALISE EN BRUNCH,NON PRIORITAIRE,NON PRIORITAIRE
226,AUTRES SERVICES,,DEJEUNER,SERVICE DE DEJEUNER PROPOSE A DOMICILE OU SUR SITE SELON LES BESOINS DU CLIENT.,PROFESSIONNEL SPECIALISE EN DEJEUNER,NON PRIORITAIRE,NON PRIORITAIRE
227,AUTRES SERVICES,,COACKTAIL DINATOIRE,SERVICE DE COACKTAIL DINATOIRE PROPOSE A DOMICILE OU SUR SITE SELON LES BESOINS DU CLIENT.,PROFESSIONNEL SPECIALISE EN COACKTAIL DINATOIRE,NON PRIORITAIRE,NON PRIORITAIRE
228,AUTRES SERVICES,,DINER,SERVICE DE DINER PROPOSE A DOMICILE OU SUR SITE SELON LES BESOINS DU CLIENT.,PROFESSIONNEL SPECIALISE EN DINER,NON PRIORITAIRE,NON PRIORITAIRE
229,AUTRES SERVICES,,EVENT DESIGNERPLANNER,SERVICE DE EVENT DESIGNERPLANNER PROPOSE A DOMICILE OU SUR SITE SELON LES BESOINS DU CLIENT.,PROFESSIONNEL SPECIALISE EN EVENT DESIGNERPLANNER,NON PRIORITAIRE,NON PRIORITAIRE
230,FETES ET EVENEMENTS,,DECORATION D'EVENEMENT,SERVICE DE DECORATION D'EVENEMENT PROPOSE A DOMICILE OU SUR SITE SELON LES BESOINS DU CLIENT.,PROFESSIONNEL SPECIALISE EN DECORATION D'EVENEMENT,NON PRIORITAIRE,NON PRIORITAIRE
231,AUTRES SERVICES,,ORGANISATION D'EVENEMENT,SERVICE DE ORGANISATION D'EVENEMENT PROPOSE A DOMICILE OU SUR SITE SELON LES BESOINS DU CLIENT.,PROFESSIONNEL SPECIALISE EN ORGANISATION D'EVENEMENT,NON PRIORITAIRE,NON PRIORITAIRE
232,FETES ET EVENEMENTS,,DJ MC ANIMATEURIMAGES,SERVICE DE DJ MC ANIMATEURIMAGES PROPOSE A DOMICILE OU SUR SITE SELON LES BESOINS DU CLIENT.,PROFESSIONNEL SPECIALISE EN DJ MC ANIMATEURIMAGES,NON PRIORITAIRE,NON PRIORITAIRE
233,FETES ET EVENEMENTS,,EVENEMENT CORPORATE,SERVICE DE EVENEMENT CORPORATE PROPOSE A DOMICILE OU SUR SITE SELON LES BESOINS DU CLIENT.,PROFESSIONNEL SPECIALISE EN EVENEMENT CORPORATE,NON PRIORITAIRE,NON PRIORITAIRE
234,FETES ET EVENEMENTS,,EVENEMENT PRIVE,SERVICE DE EVENEMENT PRIVE PROPOSE A DOMICILE OU SUR SITE SELON LES BESOINS DU CLIENT.,PROFESSIONNEL SPECIALISE EN EVENEMENT PRIVE,NON PRIORITAIRE,NON PRIORITAIRE
235,FETES ET EVENEMENTS,,EVENEMENT PUBLIC,SERVICE DE EVENEMENT PUBLIC PROPOSE A DOMICILE OU SUR SITE SELON LES BESOINS DU CLIENT.,PROFESSIONNEL SPECIALISE EN EVENEMENT PUBLIC,NON PRIORITAIRE,NON PRIORITAIRE
